Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Q Money,Dripp Wave,6uSGeDqn2TK7XYPLSk7IU1,40,0.0289,0.905,179663,0.42,0.0,4,0.0853,-7.836,0,0.41,130.011,4,0.118
Only The Family,Riot (with Lil Durk & Booka600 feat. G Herbo),5TX09uRsvBU0V7ipk8hZ0g,52,0.315,0.521,179709,0.841,1.31e-06,7,0.221,-5.368,0,0.255,103.51,3,0.669
Yung Pinch,Sober,4jJmDzh97ZHvZErGJHmQ6D,50,0.383,0.668,225395,0.394,7.86e-05,7,0.159,-9.777,0,0.0538,157.98,4,0.206
Allan Rayman,6am,6yDbpwQs3z7AU5iUt9pTEL,46,0.0744,0.645,95187,0.736,8.83e-06,5,0.123,-5.453,0,0.0555,91.141,4,0.871
Quinn Lewis,One of Us,5CDRjvukyEfLUukv1duegl,42,0.45,0.418,205429,0.455,0.000335,0,0.336,-6.759,1,0.0427,143.286,4,0.243
Younger Hunger,Second Best,0lv7WOlLxmlGN1EJSfEWKM,42,0.0251,0.729,228413,0.683,0.000836,2,0.084,-5.508,1,0.0351,103.024,4,0.507
FEVER 333,VANDALS,1GimywxURsgAQHndRPToYj,45,0.0164,0.499,177655,0.642,0.925,1,0.254,-5.425,1,0.0632,161.944,4,0.107
The Used,Blow Me,5pvZGipNqXbamr7K8TVolA,50,0.000361,0.385,200765,0.951,7.39e-05,10,0.455,-3.09,0,0.125,89.838,4,0.423
Rezz,Hell on Earth,0LF3laZt24GkVkd6ZyJlw8,53,0.00119,0.599,185333,0.92,0.403,2,0.209,-2.843,1,0.13,179.986,4,0.285
Wes Period,Nü Shoes,3bPteIaZCg5wjz77VEPoxJ,38,0.0386,0.786,162928,0.758,0.000422,3,0.149,-3.229,0,0.0923,100.021,4,0.763
Elley Duhé,NATURE,4EFEbgsvOK9GaX5fEUoCpm,48,0.0183,0.725,186820,0.67,0.00276,11,0.157,-8.058,0,0.278,123.937,4,0.362
Krewella,Good On You,3BMpJkaH1nSLqlw7Vr2THM,55,0.0524,0.7,159198,0.725,5.97e-06,6,0.256,-5.644,0,0.0432,109.951,4,0.192
iamnotshane,Back To You,4ywfuHVfB8wvm8tHWHK5QI,44,0.0431,0.907,160347,0.62,0.00789,0,0.077,-8.879,1,0.0367,116.005,4,0.706
Alex Ebert,Stronger,39MRQk9BoR9PBINbzyBQ0H,42,0.472,0.671,200992,0.492,0.779,5,0.0872,-10.031,1,0.0719,100.221,4,0.559
maxime.,‎old ‎fast,1uiusrxqFqIspicHYT20oM,40,0.00201,0.916,124364,0.372,0.382,11,0.0807,-10.254,0,0.0825,110.0,4,0.374
Phoebe Ryan,ICIMY,6UJRgLizGERIQKtbRsQ80M,46,0.0776,0.687,202303,0.693,1.7e-06,0,0.0987,-4.377,1,0.0358,139.979,4,0.547
